City Parish,HM,H,M,Year
Costa da Caparica,1372.10,652.26,719.84,2021
"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",7903.74,3597.72,4306.02,2021
União das freguesias de Caparica e Trafaria,1572.84,744.48,828.36,2021
União das freguesias de Charneca de Caparica e Sobreda,1677.56,810.81,866.75,2021
União das freguesias de Laranjeiro e Feijó,5023.35,2337.31,2686.04,2021
Ajuda,4967.36,2279.86,2687.50,2021
Alcântara,2731.76,1236.49,1495.27,2021
Alvalade,6237.64,2800.75,3436.89,2021
Areeiro,12302.33,5612.21,6690.12,2021
Arroios,15634.74,7686.38,7948.36,2021
Avenidas Novas,7779.60,3560.20,4219.40,2021
Beato,4912.50,2333.06,2579.44,2021
Belém,1586.39,726.17,860.21,2021
Benfica,4409.23,1971.07,2438.15,2021
Campo de Ourique,13418.18,5986.06,7432.12,2021
Campolide,5338.27,2523.10,2815.16,2021
Carnide,4885.64,2262.87,2622.76,2021
Estrela,4405.87,2038.91,2366.96,2021
Lumiar,7052.36,3275.65,3776.71,2021
Marvila,4983.01,2331.18,2651.83,2021
Misericórdia,4410.05,2195.89,2214.16,2021
Olivais,3977.63,1843.88,2133.75,2021
Parque das Nações,4114.34,1989.52,2124.82,2021
Penha de França,10507.38,4900.37,5607.01,2021
Santa Clara,7037.20,3277.68,3759.52,2021
Santa Maria Maior,3339.20,1868.11,1471.10,2021
Santo António,7422.82,3565.77,3857.05,2021
São Domingos de Benfica,7943.12,3595.10,4348.02,2021
São Vicente,7013.07,3334.17,3678.89,2021
Algueirão-Mem Martins,4290.56,2024.38,2266.19,2021
Casal de Cambra,6150.69,2921.66,3229.03,2021
Colares,232.12,110.46,121.67,2021
Rio de Mouro,3001.15,1410.86,1590.30,2021
União das freguesias de Agualva e Mira-Sintra,6910.20,3202.68,3707.53,2021
"União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar",269.42,131.73,137.69,2021
União das freguesias de Massamá e Monte Abraão,15470.55,7153.72,8316.83,2021
União das freguesias de Queluz e Belas,1980.13,933.89,1046.24,2021
União das freguesias de São João das Lampas e Terrugem,215.23,103.30,111.93,2021
"União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",470.43,228.17,242.27,2021
União das freguesias do Cacém e São Marcos,8937.61,4179.73,4757.88,2021
